step,learning rate,loss,macro_dice
1,0.0014632870748755521,7.484823656082153,0.027702177595347165
2,0.005467721959576012,7.287385034561157,0.047791221365332606
3,0.006129548605531453,7.245730447769165,0.047932179644703865
4,0.00560080767609179,7.091981410980225,0.06031310707330703
5,0.0046951477881520985,7.073019123077392,0.05928008295595646
6,0.0035504477098584177,7.003117179870605,0.06188866533339024
7,0.0023409775574691595,6.997738170623779,0.05869356170296669
8,0.0012508681742474438,6.903543519973755,0.06313705146312713
9,0.00044607884919969367,6.923571538925171,0.0625369131565094
10,4.913146394280865e-05,6.8826234340667725,0.0662066776305437
